Team,Players
LAC,"Al Thornton, Baron Davis, Bobby Brown, Brian Skinner, Chris Kaman, Craig Smith, DeAndre Jordan, Drew Gooden, Eric Gordon, Kareem Rush, Marcus Camby, Mardy Collins, Rasual Butler, Ricky Davis, Sebastian Telfair, Steve Blake, Steve Novak, Travis Outlaw"
PHO,"Alando Tucker, Amar'e Stoudemire, Channing Frye, Dwayne Jones, Earl Clark, Goran Dragic, Grant Hill, Jared Dudley, Jarron Collins, Jason Richardson, Leandro Barbosa, Lou Amundson, Robin Lopez, Steve Nash, Taylor Griffin"
MIA,"Carlos Arroyo, Daequan Cook, Dorell Wright, Dwyane Wade, Jamaal Magloire, James Jones, Jermaine O'Neal, Joel Anthony, Mario Chalmers, Michael Beasley, Quentin Richardson, Rafer Alston, Shavlik Randolph, Udonis Haslem, Yakhouba Diawara"
ORL,"Anthony Johnson, Brandon Bass, Dwight Howard, J.J. Redick, Jameer Nelson, Jason Williams, Marcin Gortat, Matt Barnes, Mickael Pietrus, Rashard Lewis, Ryan Anderson, Vince Carter"
BOS,"Brian Scalabrine, Eddie House, Glen Davis, Henry Walker, J.R. Giddens, Kendrick Perkins, Kevin Garnett, Lester Hudson, Marcus Landry, Marquis Daniels, Michael Finley, Nate Robinson, Oliver Lafayette, Paul Pierce, Rajon Rondo, Rasheed Wallace, Ray Allen, Shelden Williams, Tony Allen"
WAS,"Al Thornton, Alonzo Gee, Andray Blatche, Antawn Jamison, Brendan Haywood, Caron Butler, Cartier Martin, Cedric Jackson, DeShawn Stevenson, Dominic McGuire, Earl Boykins, Fabricio Oberto, Gilbert Arenas, JaVale McGee, James Singleton, Josh Howard, Mike Harris, Mike James, Mike Miller, Nick Young, Paul Davis, Quinton Ross, Randy Foye, Shaun Livingston"
PHI,"Allen Iverson, Andre Iguodala, Elton Brand, Francisco Elson, Jason Kapono, Jason Smith, Jodie Meeks, Jrue Holiday, Lou Williams, Marreese Speights, Primoz Brezec, Rodney Carney, Royal Ivey, Samuel Dalembert, Thaddeus Young, Willie Green"
LAL,"Adam Morrison, Andrew Bynum, Derek Fisher, Didier Ilunga-Mbenga, Jordan Farmar, Josh Powell, Kobe Bryant, Lamar Odom, Luke Walton, Metta World Peace, Pau Gasol, Sasha Vujacic, Shannon Brown"
HOU,"Aaron Brooks, Brian Cook, Carl Landry, Chase Budinger, Chuck Hayes, David Andersen, Garrett Temple, Hilton Armstrong, Jared Jeffries, Jermaine Taylor, Joey Dorsey, Jordan Hill, Kevin Martin, Kyle Lowry, Luis Scola, Mike Harris, Pops Mensah-Bonsu, Shane Battier, Tracy McGrady, Trevor Ariza, Will Conroy"
NOH,"Aaron Gray, Bobby Brown, Chris Paul, Darius Songaila, Darren Collison, David West, Devin Brown, Emeka Okafor, Hilton Armstrong, James Posey, Jason Hart, Julian Wright, Marcus Thornton, Morris Peterson, Peja Stojakovic, Sean Marks"
