Team,Players
GSW,"Al Harrington, Andris Biedrins, Austin Croshere, Baron Davis, Brandan Wright, C.J. Watson, Chris Webber, Didier Ilunga-Mbenga, Kelenna Azubuike, Kosta Perovic, Marco Belinelli, Matt Barnes, Mickael Pietrus, Monta Ellis, Patrick O'Bryant, Stephen Jackson, Troy Hudson"
LAC,"Aaron Williams, Al Thornton, Andre Barrett, Brevin Knight, Chris Kaman, Corey Maggette, Cuttino Mobley, Dan Dickau, Elton Brand, Guillermo Diaz, Josh Powell, Marcus Williams, Nick Fazekas, Paul Davis, Quinton Ross, Richie Frahm, Ruben Patterson, Sam Cassell, Smush Parker, Tim Thomas"
UTA,"Andrei Kirilenko, C.J. Miles, Carlos Boozer, Deron Williams, Gordan Giricek, Jarron Collins, Jason Hart, Kyle Korver, Kyrylo Fesenko, Matt Harpring, Mehmet Okur, Morris Almond, Paul Millsap, Ronnie Brewer, Ronnie Price"
TOR,"Andrea Bargnani, Anthony Parker, Carlos Delfino, Chris Bosh, Darrick Martin, Jamario Moon, Jason Kapono, Joey Graham, Jorge Garbajosa, Jose Calderon, Juan Dixon, Kris Humphries, Linton Johnson, Maceo Baston, Primoz Brezec, Rasho Nesterovic, T.J. Ford"
NYK,"David Lee, Eddy Curry, Fred Jones, Jamal Crawford, Jared Jeffries, Jerome James, Malik Rose, Mardy Collins, Nate Robinson, Quentin Richardson, Randolph Morris, Renaldo Balkman, Stephon Marbury, Wilson Chandler, Zach Randolph"
BOS,"Brian Scalabrine, Eddie House, Gabe Pruitt, Glen Davis, James Posey, Kendrick Perkins, Kevin Garnett, Leon Powe, P.J. Brown, Paul Pierce, Rajon Rondo, Ray Allen, Sam Cassell, Scot Pollard, Tony Allen"
WAS,"Andray Blatche, Antawn Jamison, Antonio Daniels, Brendan Haywood, Caron Butler, Darius Songaila, DeShawn Stevenson, Dominic McGuire, Gilbert Arenas, Mike Wilks, Nick Young, Oleksiy Pecherov, Roger Mason"
PHI,"Andre Iguodala, Andre Miller, Calvin Booth, Gordan Giricek, Jason Smith, Kevin Ollie, Kyle Korver, Lou Amundson, Lou Williams, Reggie Evans, Rodney Carney, Samuel Dalembert, Shavlik Randolph, Thaddeus Young, Willie Green"
SAC,"Anthony Johnson, Beno Udrih, Brad Miller, Dahntay Jones, Darryl Watkins, Francisco Garcia, John Salmons, Justin Williams, Kenny Thomas, Kevin Martin, Lorenzen Wright, Metta World Peace, Mike Bibby, Mikki Moore, Orien Greene, Quincy Douby, Shareef Abdur-Rahim, Shelden Williams, Spencer Hawes"
SEA,"Adrian Griffin, Chris Wilcox, Damien Wilkins, Delonte West, Donyell Marshall, Earl Watson, Eddie Gill, Francisco Elson, Ira Newble, Jeff Green, Johan Petro, Kevin Durant, Kurt Thomas, Luke Ridnour, Mickael Gelabale, Mike Wilks, Mouhamed Sene, Nick Collison, Robert Swift, Ronald Dupree, Wally Szczerbiak"
LAL,"Andrew Bynum, Brian Cook, Chris Mihm, Coby Karl, Derek Fisher, Didier Ilunga-Mbenga, Ira Newble, Javaris Crittenton, Jordan Farmar, Kobe Bryant, Kwame Brown, Lamar Odom, Luke Walton, Maurice Evans, Pau Gasol, Ronny Turiaf, Sasha Vujacic, Trevor Ariza, Vladimir Radmanovic"
POR,"Brandon Roy, Channing Frye, James Jones, Jarrett Jack, Joel Przybilla, Josh McRoberts, LaMarcus Aldridge, Martell Webster, Raef LaFrentz, Sergio Rodriguez, Steve Blake, Taurean Green, Travis Outlaw, Von Wafer"
DET,"Amir Johnson, Antonio McDyess, Arron Afflalo, Chauncey Billups, Cheikh Samb, Jarvis Hayes, Jason Maxiell, Juan Dixon, Lindsey Hunter, Nazr Mohammed, Primoz Brezec, Rasheed Wallace, Richard Hamilton, Rodney Stuckey, Ronald Dupree, Ronald Murray, Tayshaun Prince, Theo Ratliff, Walter Herrmann"
MEM,"Andre Brown, Bobby Jones, Brian Cardinal, Casey Jacobsen, Damon Stoudamire, Darko Milicic, Hakim Warrick, Jason Collins, Javaris Crittenton, Jeremy Richardson, Juan Carlos Navarro, Kwame Brown, Kyle Lowry, Mike Conley, Mike Miller, Pau Gasol, Rudy Gay, Stromile Swift, Tarence Kinsey"
MIN,"Al Jefferson, Antoine Walker, Chris Richard, Corey Brewer, Craig Smith, Gerald Green, Greg Buckner, Kirk Snyder, Mark Madsen, Marko Jaric, Michael Doleac, Randy Foye, Rashad McCants, Ryan Gomes, Sebastian Telfair, Theo Ratliff"
NJN,"Antoine Wright, Billy Thomas, Bostjan Nachbar, Darrell Armstrong, DeSagana Diop, Devin Harris, Eddie Gill, Jamaal Magloire, Jason Collins, Jason Kidd, Josh Boone, Malik Allen, Marcus Williams, Maurice Ager, Nenad Krstic, Richard Jefferson, Sean Williams, Stromile Swift, Trenton Hassell, Vince Carter"
