Team,Players
CLE,"Anderson Varejao, Ben Wallace, Billy Thomas, Cedric Simmons, Damon Jones, Daniel Gibson, Delonte West, Demetris Nichols, Devin Brown, Donyell Marshall, Drew Gooden, Dwayne Jones, Eric Snow, Ira Newble, Joe Smith, Kaniel Dickens, Lance Allred, Larry Hughes, LeBron James, Sasha Pavlovic, Shannon Brown, Wally Szczerbiak, Zydrunas Ilgauskas"
DEN,"Allen Iverson, Anthony Carter, Bobby Jones, Carmelo Anthony, Chucky Atkins, Eduardo Najera, J.R. Smith, Jelani McCoy, Kenyon Martin, Linas Kleiza, Marcus Camby, Mike Wilks, Nene Hilario, Steven Hunter, Taurean Green, Von Wafer, Yakhouba Diawara"
HOU,"Aaron Brooks, Bobby Jackson, Bobby Jones, Bonzi Wells, Carl Landry, Chuck Hayes, Dikembe Mutombo, Gerald Green, Justin Williams, Kirk Snyder, Loren Woods, Luis Scola, Luther Head, Mike Harris, Mike James, Rafer Alston, Shane Battier, Steve Francis, Steve Novak, Tracy McGrady, Yao Ming"
DAL,"Antoine Wright, Brandon Bass, DeSagana Diop, Devean George, Devin Harris, Dirk Nowitzki, Eddie Jones, Erick Dampier, J.J. Barea, Jamaal Magloire, Jason Kidd, Jason Terry, Jerry Stackhouse, Josh Howard, Juwan Howard, Malik Allen, Maurice Ager, Nick Fazekas, Trenton Hassell, Tyronn Lue"
IND,"Andre Owens, Courtney Sims, Danny Granger, David Harrison, Ike Diogu, Jamaal Tinsley, Jeff Foster, Jermaine O'Neal, Kareem Rush, Marquis Daniels, Mike Dunleavy, Ronald Murray, Shawne Williams, Stephen Graham, Travis Diener, Troy Murphy"
CHI,"Aaron Gray, Adrian Griffin, Andres Nocioni, Ben Gordon, Ben Wallace, Cedric Simmons, Chris Duhon, Demetris Nichols, Drew Gooden, Joakim Noah, Joe Smith, Kirk Hinrich, Larry Hughes, Luol Deng, Shannon Brown, Thabo Sefolosha, Thomas Gardner, Tyrus Thomas, Viktor Khryapa"
MIL,"Andrew Bogut, Awvee Storey, Bobby Simmons, Charlie Bell, Charlie Villanueva, Dan Gadzuric, Desmond Mason, Jake Voskuhl, Michael Redd, Michael Ruffin, Mo Williams, Ramon Sessions, Royal Ivey, Yi Jianlian"
NOH,"Bobby Jackson, Bonzi Wells, Chris Andersen, Chris Paul, David West, Hilton Armstrong, Jannero Pargo, Julian Wright, Marcus Vinicius, Melvin Ely, Mike James, Morris Peterson, Peja Stojakovic, Rasual Butler, Ryan Bowen, Tyson Chandler"
ATL,"Acie Law, Al Horford, Anthony Johnson, Jeremy Richardson, Joe Johnson, Josh Childress, Josh Smith, Lorenzen Wright, Mario West, Marvin Williams, Mike Bibby, Salim Stoudamire, Shelden Williams, Solomon Jones, Tyronn Lue, Zaza Pachulia"
CHA,"Derek Anderson, Earl Boykins, Emeka Okafor, Gerald Wallace, Jared Dudley, Jason Richardson, Jeff McInnis, Jermareo Davidson, Matt Carroll, Nazr Mohammed, Othella Harrington, Primoz Brezec, Raymond Felton, Ryan Hollins, Walter Herrmann"
MIA,"Alexander Johnson, Alonzo Mourning, Anfernee Hardaway, Blake Ahearn, Bobby Jones, Chris Quinn, Daequan Cook, Dorell Wright, Dwyane Wade, Earl Barron, Jason Williams, Joel Anthony, Kasib Powell, Luke Jackson, Marcus Banks, Mark Blount, Ricky Davis, Shaquille O'Neal, Shawn Marion, Smush Parker, Stephane Lasme, Udonis Haslem"
ORL,"Adonal Foyle, Bo Outlaw, Brian Cook, Carlos Arroyo, Dwight Howard, Hedo Turkoglu, J.J. Redick, Jameer Nelson, James Augustine, Keith Bogans, Keyon Dooling, Marcin Gortat, Maurice Evans, Pat Garrity, Rashard Lewis, Trevor Ariza"
PHO,"Alando Tucker, Amar'e Stoudemire, Boris Diaw, Brian Skinner, D.J. Strawberry, Eric Piatkowski, Gordan Giricek, Grant Hill, Leandro Barbosa, Linton Johnson, Marcus Banks, Raja Bell, Sean Marks, Shaquille O'Neal, Shawn Marion, Steve Nash"
SAS,"Bobby Jones, Brent Barry, Bruce Bowen, Damon Stoudamire, Darius Washington, DerMarr Johnson, Fabricio Oberto, Francisco Elson, Ian Mahinmi, Ime Udoka, Jacque Vaughn, Jeremy Richardson, Keith Langford, Kurt Thomas, Manu Ginobili, Marcus Williams, Matt Bonner, Michael Finley, Robert Horry, Tim Duncan, Tony Parker"
