Team,Players
NYK,"Al Harrington, Anthony Roberson, Cheikh Samb, Chris Duhon, Chris Wilcox, Courtney Sims, Danilo Gallinari, David Lee, Demetris Nichols, Eddy Curry, Jamal Crawford, Jared Jeffries, Jerome James, Joe Crawford, Larry Hughes, Malik Rose, Mardy Collins, Mouhamed Sene, Nate Robinson, Quentin Richardson, Tim Thomas, Wilson Chandler, Zach Randolph"
CHA,"Adam Morrison, Alexis Ajinca, Andre Brown, Boris Diaw, Cartier Martin, D.J. Augustin, DeSagana Diop, Dontell Jefferson, Dwayne Jones, Emeka Okafor, Gerald Wallace, Jared Dudley, Jason Richardson, Juwan Howard, Linton Johnson, Matt Carroll, Nazr Mohammed, Raja Bell, Raymond Felton, Ryan Hollins, Sean May, Sean Singletary, Shannon Brown, Vladimir Radmanovic"
ATL,"Acie Law, Al Horford, Joe Johnson, Josh Smith, Mario West, Marvin Williams, Maurice Evans, Mike Bibby, Othello Hunter, Randolph Morris, Ronald Murray, Solomon Jones, Speedy Claxton, Thomas Gardner, Zaza Pachulia"
WAS,"Andray Blatche, Antawn Jamison, Antonio Daniels, Brendan Haywood, Caron Butler, Darius Songaila, DeShawn Stevenson, Dee Brown, Dominic McGuire, Etan Thomas, Gilbert Arenas, JaVale McGee, Javaris Crittenton, Juan Dixon, Mike James, Nick Young, Oleksiy Pecherov"
GSW,"Al Harrington, Andris Biedrins, Anthony Morrow, Anthony Randolph, Brandan Wright, C.J. Watson, Corey Maggette, DeMarcus Nelson, Jamal Crawford, Jermareo Davidson, Kelenna Azubuike, Marco Belinelli, Marcus Williams, Monta Ellis, Rob Kurz, Ronny Turiaf, Stephen Jackson"
DET,"Alex Acker, Allen Iverson, Amir Johnson, Antonio McDyess, Arron Afflalo, Chauncey Billups, Jason Maxiell, Kwame Brown, Rasheed Wallace, Richard Hamilton, Rodney Stuckey, Tayshaun Prince, Walter Herrmann, Walter Sharpe, Will Bynum"
PHI,"Andre Iguodala, Andre Miller, Donyell Marshall, Elton Brand, Kareem Rush, Lou Williams, Marreese Speights, Reggie Evans, Royal Ivey, Samuel Dalembert, Thaddeus Young, Theo Ratliff, Willie Green"
CLE,"Anderson Varejao, Ben Wallace, Daniel Gibson, Darnell Jackson, Delonte West, J.J. Hickson, Jawad Williams, Joe Smith, LeBron James, Lorenzen Wright, Mo Williams, Sasha Pavlovic, Tarence Kinsey, Trey Johnson, Wally Szczerbiak, Zydrunas Ilgauskas"
ORL,"Adonal Foyle, Anthony Johnson, Brian Cook, Courtney Lee, Dwight Howard, Hedo Turkoglu, J.J. Redick, Jameer Nelson, Jeremy Richardson, Keith Bogans, Marcin Gortat, Mickael Pietrus, Rafer Alston, Rashard Lewis, Tony Battie, Tyronn Lue"
MIA,"Chris Quinn, Daequan Cook, Dorell Wright, Dwyane Wade, Jamaal Magloire, Jamario Moon, James Jones, Jermaine O'Neal, Joel Anthony, Luther Head, Marcus Banks, Mario Chalmers, Mark Blount, Michael Beasley, Shaun Livingston, Shawn Marion, Udonis Haslem, Yakhouba Diawara"
HOU,"Aaron Brooks, Brent Barry, Brian Cook, Carl Landry, Chuck Hayes, Dikembe Mutombo, James White, Joey Dorsey, Kyle Lowry, Luis Scola, Luther Head, Metta World Peace, Rafer Alston, Shane Battier, Tracy McGrady, Von Wafer, Yao Ming"
