Team,Players
LAL,"Chris Kaman, Elias Harris, Jodie Meeks, Jordan Farmar, Jordan Hill, Kendall Marshall, Kent Bazemore, Kobe Bryant, Manny Harris, MarShon Brooks, Nick Young, Pau Gasol, Robert Sacre, Ryan Kelly, Shawne Williams, Steve Blake, Steve Nash, Wesley Johnson, Xavier Henry"
LAC,"Antawn Jamison, Blake Griffin, Byron Mullens, Chris Paul, Danny Granger, Darius Morris, Darren Collison, DeAndre Jordan, Glen Davis, Hedo Turkoglu, J.J. Redick, Jamal Crawford, Jared Dudley, Maalik Wayns, Matt Barnes, Reggie Bullock, Ryan Hollins, Sasha Vujacic, Stephen Jackson, Willie Green"
SAC,"Aaron Gray, Ben McLemore, Carl Landry, Chuck Hayes, DeMarcus Cousins, Derrick Williams, Greivis Vasquez, Hamady N'Diaye, Isaiah Thomas, Jared Cunningham, Jason Thompson, Jimmer Fredette, John Salmons, Luc Mbah a Moute, Marcus Thornton, Orlando Johnson, Patrick Patterson, Quincy Acy, Ray McCallum, Reggie Evans, Royce White, Rudy Gay, Travis Outlaw"
ORL,"Adonis Thomas, Andrew Nicholson, Arron Afflalo, Dewayne Dedmon, Doron Lamb, E'Twaun Moore, Glen Davis, Jameer Nelson, Jason Maxiell, Kyle O'Quinn, Maurice Harkless, Nikola Vucevic, Ronnie Price, Solomon Jones, Tobias Harris, Victor Oladipo"
MIA,"Chris Andersen, Chris Bosh, Dwyane Wade, Greg Oden, James Jones, Joel Anthony, Justin Hamilton, LeBron James, Mario Chalmers, Michael Beasley, Norris Cole, Rashard Lewis, Ray Allen, Roger Mason, Shane Battier, Toney Douglas, Udonis Haslem"
HOU,"Aaron Brooks, Chandler Parsons, Donatas Motiejunas, Dwight Howard, Francisco Garcia, Greg Smith, Isaiah Canaan, James Harden, Jeremy Lin, Jordan Hamilton, Josh Powell, Omer Asik, Omri Casspi, Patrick Beverley, Robert Covington, Ronnie Brewer, Terrence Jones, Troy Daniels"
MIN,"A.J. Price, Alexey Shved, Chase Budinger, Corey Brewer, Dante Cunningham, Derrick Williams, Gorgui Dieng, J.J. Barea, Kevin Love, Kevin Martin, Luc Mbah a Moute, Nikola Pekovic, Othyus Jeffers, Ricky Rubio, Robbie Hummel, Ronny Turiaf, Shabazz Muhammad"
OKC,"Andre Roberson, Caron Butler, Derek Fisher, Hasheem Thabeet, Jeremy Lamb, Kendrick Perkins, Kevin Durant, Mustafa Shakur, Nick Collison, Perry Jones, Reggie Jackson, Reggie Williams, Royal Ivey, Russell Westbrook, Ryan Gomes, Serge Ibaka, Steven Adams, Thabo Sefolosha"
ATL,"Al Horford, Cartier Martin, DeMarre Carroll, Dennis Schroder, Dexter Pittman, Elton Brand, Gustavo Ayon, James Nunnally, Jared Cunningham, Jeff Teague, John Jenkins, Kyle Korver, Lou Williams, Mike Muscala, Mike Scott, Paul Millsap, Pero Antic, Shelvin Mack"
MEM,"Beno Udrih, Courtney Lee, Darius Morris, Ed Davis, Jamaal Franklin, James Johnson, Jerryd Bayless, Jon Leuer, Kosta Koufos, Marc Gasol, Mike Conley, Mike Miller, Nick Calathes, Quincy Pondexter, Seth Curry, Tayshaun Prince, Tony Allen, Zach Randolph"
CLE,"Alonzo Gee, Anderson Varejao, Andrew Bynum, Anthony Bennett, Arinze Onuaku, C.J. Miles, Carrick Felix, Dion Waiters, Earl Clark, Henry Sims, Jarrett Jack, Kyrie Irving, Luol Deng, Matthew Dellavedova, Scotty Hopson, Sergey Karasev, Seth Curry, Shane Edwards, Spencer Hawes, Tristan Thompson, Tyler Zeller"
PHI,"Adonis Thomas, Arnett Moultrie, Brandon Davies, Byron Mullens, Casper Ware, Daniel Orton, Darius Johnson-Odom, Darius Morris, Dewayne Dedmon, Elliot Williams, Eric Maynor, Evan Turner, Henry Sims, Hollis Thompson, James Anderson, James Nunnally, Jarvis Varnado, Lavoy Allen, Lorenzo Brown, Michael Carter-Williams, Spencer Hawes, Thaddeus Young, Tony Wroten"
BOS,"Avery Bradley, Brandon Bass, Chris Babb, Chris Johnson, Courtney Lee, Gerald Wallace, Jared Sullinger, Jeff Green, Jerryd Bayless, Joel Anthony, Jordan Crawford, Keith Bogans, Kelly Olynyk, Kris Humphries, MarShon Brooks, Phil Pressey, Rajon Rondo, Vander Blue, Vitor Faverani"
