Team,Players
BRK,"Alan Anderson, Andray Blatche, Andrei Kirilenko, Brook Lopez, Deron Williams, Jason Collins, Jason Terry, Joe Johnson, Jorge Gutierrez, Kevin Garnett, Marcus Thornton, Marquis Teague, Mason Plumlee, Mirza Teletovic, Paul Pierce, Reggie Evans, Shaun Livingston, Tornike Shengelia, Tyshawn Taylor"
WAS,"Al Harrington, Andre Miller, Bradley Beal, Chris Singleton, Drew Gooden, Eric Maynor, Garrett Temple, Glen Rice, Jan Vesely, John Wall, Kevin Seraphin, Marcin Gortat, Martell Webster, Nene Hilario, Otto Porter, Trevor Ariza, Trevor Booker"
GSW,"Andre Iguodala, Andrew Bogut, David Lee, Dewayne Dedmon, Draymond Green, Harrison Barnes, Hilton Armstrong, Jermaine O'Neal, Jordan Crawford, Kent Bazemore, Klay Thompson, MarShon Brooks, Marreese Speights, Nemanja Nedovic, Ognjen Kuzmic, Stephen Curry, Steve Blake, Toney Douglas"
POR,"Allen Crabbe, CJ McCollum, Damian Lillard, Dorell Wright, Earl Watson, Joel Freeland, LaMarcus Aldridge, Meyers Leonard, Mo Williams, Nicolas Batum, Robin Lopez, Thomas Robinson, Victor Claver, Wesley Matthews, Will Barton"
DAL,"Bernard James, Brandan Wright, DeJuan Blair, Devin Harris, Dirk Nowitzki, Gal Mekel, Jae Crowder, Jose Calderon, Monta Ellis, Ricky Ledo, Samuel Dalembert, Shane Larkin, Shawn Marion, Vince Carter, Wayne Ellington"
SAS,"Aron Baynes, Austin Daye, Boris Diaw, Cory Joseph, Damion James, Danny Green, Jeff Ayres, Kawhi Leonard, Malcolm Thomas, Manu Ginobili, Marco Belinelli, Matt Bonner, Nando De Colo, Othyus Jeffers, Patty Mills, Shannon Brown, Tiago Splitter, Tim Duncan, Tony Parker"
NYK,"Amar'e Stoudemire, Andrea Bargnani, Beno Udrih, Carmelo Anthony, Cole Aldrich, Earl Clark, Iman Shumpert, J.R. Smith, Jeremy Tyler, Kenyon Martin, Metta World Peace, Pablo Prigioni, Raymond Felton, Shannon Brown, Tim Hardaway, Toure' Murry, Tyson Chandler"
IND,"Andrew Bynum, C.J. Watson, Chris Copeland, Danny Granger, David West, Donald Sloan, Evan Turner, George Hill, Ian Mahinmi, Lance Stephenson, Lavoy Allen, Luis Scola, Orlando Johnson, Paul George, Rasual Butler, Roy Hibbert, Solomon Hill"
DET,"Andre Drummond, Brandon Jennings, Charlie Villanueva, Chauncey Billups, Greg Monroe, Jonas Jerebko, Josh Harrellson, Josh Smith, Kentavious Caldwell-Pope, Kyle Singler, Luigi Datome, Peyton Siva, Rodney Stuckey, Tony Mitchell, Will Bynum"
CHA,"Al Jefferson, Anthony Tolliver, Ben Gordon, Bismack Biyombo, Chris Douglas-Roberts, Cody Zeller, D.J. White, Gary Neal, Gerald Henderson, James Southerland, Jannero Pargo, Jeff Adrien, Jeffery Taylor, Josh McRoberts, Justin Hamilton, Kemba Walker, Luke Ridnour, Michael Kidd-Gilchrist, Ramon Sessions"
CHI,"Carlos Boozer, Cartier Martin, D.J. Augustin, Derrick Rose, Erik Murphy, Jimmer Fredette, Jimmy Butler, Joakim Noah, Kirk Hinrich, Luol Deng, Marquis Teague, Mike Dunleavy, Mike James, Nazr Mohammed, Ronnie Brewer, Taj Gibson, Tony Snell, Tornike Shengelia"
TOR,"Aaron Gray, Amir Johnson, Austin Daye, Chuck Hayes, D.J. Augustin, DeMar DeRozan, Dwight Buycks, Greivis Vasquez, John Salmons, Jonas Valanciunas, Julyan Stone, Kyle Lowry, Landry Fields, Nando De Colo, Patrick Patterson, Quincy Acy, Rudy Gay, Steve Novak, Terrence Ross, Tyler Hansbrough"
MIL,"Brandon Knight, Caron Butler, Chris Wright, D.J. Stephens, Ekpe Udoh, Ersan Ilyasova, Gary Neal, Giannis Antetokounmpo, Jeff Adrien, John Henson, Khris Middleton, Larry Sanders, Luke Ridnour, Miroslav Raduljica, Nate Wolters, O.J. Mayo, Ramon Sessions, Tony Mitchell, Zaza Pachulia"
DEN,"Aaron Brooks, Andre Miller, Anthony Randolph, Darrell Arthur, Evan Fournier, J.J. Hickson, JaVale McGee, Jan Vesely, Jordan Hamilton, Kenneth Faried, Nate Robinson, Quincy Miller, Randy Foye, Timofey Mozgov, Ty Lawson, Wilson Chandler"
NOP,"Al-Farouq Aminu, Alexis Ajinca, Anthony Davis, Anthony Morrow, Arinze Onuaku, Austin Rivers, Brian Roberts, Darius Miller, Eric Gordon, Greg Stiemsma, James Southerland, Jason Smith, Jeff Withey, Josh Childress, Jrue Holiday, Lance Thomas, Lou Amundson, Luke Babbitt, Melvin Ely, Ryan Anderson, Tyreke Evans"
PHO,"Alex Len, Archie Goodwin, Channing Frye, Dionte Christmas, Eric Bledsoe, Gerald Green, Goran Dragic, Ish Smith, Leandro Barbosa, Marcus Morris, Markieff Morris, Miles Plumlee, P.J. Tucker, Shavlik Randolph, Viacheslav Kravtsov"
UTA,"Alec Burks, Andris Biedrins, Brandon Rush, Derrick Favors, Diante Garrett, Enes Kanter, Gordon Hayward, Ian Clark, Jamaal Tinsley, Jeremy Evans, John Lucas III, Malcolm Thomas, Marvin Williams, Mike Harris, Richard Jefferson, Rudy Gobert, Trey Burke"
