Team,Players
LAL,"Aaron McKie, Andrew Bynum, Brian Cook, Jordan Farmar, Kobe Bryant, Kwame Brown, Lamar Odom, Luke Walton, Maurice Evans, Ronny Turiaf, Sasha Vujacic, Shammond Williams, Smush Parker, Vladimir Radmanovic"
PHO,"Amar'e Stoudemire, Boris Diaw, Eric Piatkowski, Jalen Rose, James Jones, Jumaine Jones, Kurt Thomas, Leandro Barbosa, Marcus Banks, Pat Burke, Raja Bell, Sean Marks, Shawn Marion, Steve Nash"
LAC,"Aaron Williams, Alvin Williams, Chris Kaman, Corey Maggette, Cuttino Mobley, Daniel Ewing, Doug Christie, Elton Brand, James Singleton, Jason Hart, Luke Jackson, Paul Davis, Quinton Ross, Sam Cassell, Shaun Livingston, Tim Thomas, Will Conroy, Yaroslav Korolev"
SAS,"Beno Udrih, Brent Barry, Bruce Bowen, Eric Williams, Fabricio Oberto, Francisco Elson, Jackie Butler, Jacque Vaughn, James White, Manu Ginobili, Matt Bonner, Melvin Ely, Michael Finley, Robert Horry, Tim Duncan, Tony Parker"
UTA,"Andrei Kirilenko, C.J. Miles, Carlos Boozer, Dee Brown, Derek Fisher, Deron Williams, Gordan Giricek, Jarron Collins, Lou Amundson, Matt Harpring, Mehmet Okur, Paul Millsap, Rafael Araujo, Roger Powell, Ronnie Brewer"
GSW,"Adonal Foyle, Al Harrington, Andris Biedrins, Anthony Roberson, Baron Davis, Dajuan Wagner, Ike Diogu, Jason Richardson, Josh Powell, Keith McLeod, Kelenna Azubuike, Matt Barnes, Mickael Pietrus, Mike Dunleavy, Monta Ellis, Patrick O'Bryant, Renaldo Major, Sarunas Jasikevicius, Stephen Jackson, Troy Murphy"
POR,"Brandon Roy, Dan Dickau, Fred Jones, Ime Udoka, Jamaal Magloire, Jarrett Jack, Joel Przybilla, Juan Dixon, LaMarcus Aldridge, Luke Schenscher, Martell Webster, Raef LaFrentz, Sergio Rodriguez, Stephen Graham, Travis Outlaw, Zach Randolph"
NJN,"Antoine Wright, Bernard Robinson, Bostjan Nachbar, Clifford Robinson, Eddie House, Hassan Adams, Jason Collins, Jason Kidd, Josh Boone, Marcus Williams, Mikki Moore, Mile Ilic, Nenad Krstic, Richard Jefferson, Vince Carter"
BOS,"Al Jefferson, Allan Ray, Brian Scalabrine, Delonte West, Gerald Green, Kendrick Perkins, Kevinn Pinkney, Leon Powe, Michael Olowokandi, Paul Pierce, Rajon Rondo, Ryan Gomes, Sebastian Telfair, Theo Ratliff, Tony Allen, Wally Szczerbiak"
CHA,"Adam Morrison, Alan Anderson, Bernard Robinson, Brevin Knight, Derek Anderson, Emeka Okafor, Eric Williams, Gerald Wallace, Jake Voskuhl, Jeff McInnis, Matt Carroll, Melvin Ely, Othella Harrington, Primoz Brezec, Raymond Felton, Ryan Hollins, Sean May, Walter Herrmann"
ORL,"Bo Outlaw, Carlos Arroyo, Darko Milicic, Dwight Howard, Grant Hill, Hedo Turkoglu, J.J. Redick, Jameer Nelson, James Augustine, Keith Bogans, Keyon Dooling, Pat Garrity, Tony Battie, Travis Diener, Trevor Ariza"
