Team,Players
MIA,"Alonzo Mourning, Antoine Walker, Chris Quinn, Dorell Wright, Dwyane Wade, Earl Barron, Eddie Jones, Gary Payton, James Posey, Jason Kapono, Jason Williams, Michael Doleac, Robert Hite, Shaquille O'Neal, Udonis Haslem, Wayne Simien"
SAC,"Brad Miller, Corliss Williamson, Francisco Garcia, Jason Hart, John Salmons, Justin Williams, Kenny Thomas, Kevin Martin, Maurice Taylor, Metta World Peace, Mike Bibby, Quincy Douby, Ronnie Price, Shareef Abdur-Rahim, Vitaly Potapenko"
DAL,"Anthony Johnson, Austin Croshere, DeSagana Diop, Devean George, Devin Harris, Didier Ilunga-Mbenga, Dirk Nowitzki, Erick Dampier, Greg Buckner, J.J. Barea, Jason Terry, Jerry Stackhouse, Josh Howard, Kevin Willis, Maurice Ager, Pops Mensah-Bonsu"
DET,"Amir Johnson, Antonio McDyess, Carlos Delfino, Chauncey Billups, Chris Webber, Dale Davis, Jason Maxiell, Lindsey Hunter, Nazr Mohammed, Rasheed Wallace, Richard Hamilton, Ronald Dupree, Ronald Murray, Tayshaun Prince, Will Blalock"
CHI,"Adrian Griffin, Andre Barrett, Andres Nocioni, Ben Gordon, Ben Wallace, Chris Duhon, Kirk Hinrich, Luol Deng, Malik Allen, Mike Sweetney, P.J. Brown, Thabo Sefolosha, Tyrus Thomas, Viktor Khryapa"
TOR,"Andrea Bargnani, Anthony Parker, Chris Bosh, Darrick Martin, Fred Jones, Joey Graham, Jorge Garbajosa, Jose Calderon, Juan Dixon, Kris Humphries, Luke Jackson, Morris Peterson, P.J. Tucker, Pape Sow, Rasho Nesterovic, T.J. Ford, Uros Slokar"
MEM,"Alexander Johnson, Brian Cardinal, Chucky Atkins, Dahntay Jones, Damon Stoudamire, Eddie Jones, Hakim Warrick, Jake Tsakalidis, Junior Harrington, Kyle Lowry, Lawrence Roberts, Mike Miller, Pau Gasol, Rudy Gay, Scott Padgett, Stromile Swift, Tarence Kinsey, Will Conroy"
HOU,"Bonzi Wells, Chuck Hayes, Dikembe Mutombo, Jake Tsakalidis, John Lucas III, Juwan Howard, Kirk Snyder, Luther Head, Rafer Alston, Scott Padgett, Shane Battier, Steve Novak, Tracy McGrady, Vassilis Spanoulis, Yao Ming"
WAS,"Andray Blatche, Antawn Jamison, Antonio Daniels, Brendan Haywood, Calvin Booth, Caron Butler, Darius Songaila, DeShawn Stevenson, Donell Taylor, Etan Thomas, Gilbert Arenas, James Lang, Jarvis Hayes, Michael Ruffin, Mike Hall, Roger Mason"
NYK,"Channing Frye, David Lee, Eddy Curry, Jamal Crawford, Jared Jeffries, Jerome James, Kelvin Cato, Malik Rose, Mardy Collins, Nate Robinson, Quentin Richardson, Randolph Morris, Renaldo Balkman, Stephon Marbury, Steve Francis"
MIL,"Andrew Bogut, Brian Skinner, Charlie Bell, Charlie Villanueva, Chris McCray, Damir Markota, Dan Gadzuric, David Noel, Earl Boykins, Ersan Ilyasova, Jared Reiner, Julius Hodge, Lynn Greer, Michael Redd, Mo Williams, Ruben Patterson, Steve Blake"
CLE,"Anderson Varejao, Damon Jones, Daniel Gibson, David Wesley, Donyell Marshall, Drew Gooden, Dwayne Jones, Eric Snow, Ira Newble, Larry Hughes, LeBron James, Sasha Pavlovic, Scot Pollard, Shannon Brown, Zydrunas Ilgauskas"
MIN,"Bracey Wright, Craig Smith, Eddie Griffin, Justin Reed, Kevin Garnett, Mark Blount, Mark Madsen, Marko Jaric, Mike James, Randy Foye, Rashad McCants, Ricky Davis, Trenton Hassell, Troy Hudson"
DEN,"Allen Iverson, Andre Miller, Anthony Carter, Carmelo Anthony, DerMarr Johnson, Earl Boykins, Eduardo Najera, J.R. Smith, Jamal Sampson, Joe Smith, Julius Hodge, Kenyon Martin, Linas Kleiza, Marcus Camby, Nene Hilario, Reggie Evans, Steve Blake, Yakhouba Diawara"
SEA,"Andre Brown, Andreas Glyniadakis, Chris Wilcox, Damien Wilkins, Danny Fortson, Desmon Farmer, Earl Watson, Johan Petro, Luke Ridnour, Mickael Gelabale, Mike Wilks, Mouhamed Sene, Nick Collison, Randy Livingston, Rashard Lewis, Ray Allen"
ATL,"Anthony Johnson, Cedric Bozeman, Dijon Thompson, Esteban Batista, Jeremy Richardson, Joe Johnson, Josh Childress, Josh Smith, Lorenzen Wright, Marvin Williams, Matt Freije, Royal Ivey, Salim Stoudamire, Shelden Williams, Solomon Jones, Speedy Claxton, Stanislav Medvedenko, Tyronn Lue, Zaza Pachulia"
IND,"Al Harrington, Danny Granger, Darrell Armstrong, David Harrison, Ike Diogu, Jamaal Tinsley, Jeff Foster, Jermaine O'Neal, Josh Powell, Keith McLeod, Maceo Baston, Marquis Daniels, Mike Dunleavy, Orien Greene, Rawle Marshall, Sarunas Jasikevicius, Shawne Williams, Stephen Jackson, Troy Murphy"
PHI,"Alan Henderson, Allen Iverson, Andre Iguodala, Andre Miller, Bobby Jones, Chris Webber, Ivan McFarlin, Joe Smith, Kevin Ollie, Kyle Korver, Lou Amundson, Lou Williams, Rodney Carney, Samuel Dalembert, Shavlik Randolph, Steven Hunter, Steven Smith, Willie Green"
NOK,"Bobby Jackson, Brandon Bass, Cedric Simmons, Chris Paul, David West, Desmond Mason, Devin Brown, Hilton Armstrong, Jannero Pargo, Linton Johnson, Marc Jackson, Marcus Vinicius, Peja Stojakovic, Rasual Butler, Tyson Chandler"
