Team,Players
PHI,"Arnett Moultrie, Charles Jenkins, Damien Wilkins, Dorell Wright, Evan Turner, Jason Richardson, Jeremy Pargo, Jrue Holiday, Justin Holiday, Kwame Brown, Lavoy Allen, Maalik Wayns, Nick Young, Royal Ivey, Shelvin Mack, Spencer Hawes, Thaddeus Young"
ORL,"Al Harrington, Andrew Nicholson, Arron Afflalo, Beno Udrih, DeQuan Jones, Doron Lamb, E'Twaun Moore, Glen Davis, Gustavo Ayon, Hedo Turkoglu, Ish Smith, J.J. Redick, Jameer Nelson, Josh McRoberts, Kyle O'Quinn, Maurice Harkless, Nikola Vucevic, Tobias Harris"
MIA,"Chris Andersen, Chris Bosh, Dexter Pittman, Dwyane Wade, James Jones, Jarvis Varnado, Joel Anthony, Josh Harrellson, Juwan Howard, LeBron James, Mario Chalmers, Mike Miller, Norris Cole, Rashard Lewis, Ray Allen, Shane Battier, Terrel Harris, Udonis Haslem"
DEN,"Andre Iguodala, Andre Miller, Anthony Randolph, Corey Brewer, Danilo Gallinari, Evan Fournier, JaVale McGee, Jordan Hamilton, Julyan Stone, Kenneth Faried, Kosta Koufos, Quincy Miller, Timofey Mozgov, Ty Lawson, Wilson Chandler"
HOU,"Aaron Brooks, Carlos Delfino, Chandler Parsons, Cole Aldrich, Daequan Cook, Donatas Motiejunas, Francisco Garcia, Greg Smith, James Anderson, James Harden, Jeremy Lin, Marcus Morris, Omer Asik, Patrick Beverley, Patrick Patterson, Scott Machado, Terrence Jones, Thomas Robinson, Tim Ohlbrecht, Toney Douglas"
GSW,"Andrew Bogut, Andris Biedrins, Brandon Rush, Carl Landry, Charles Jenkins, David Lee, Draymond Green, Festus Ezeli, Harrison Barnes, Jarrett Jack, Jeremy Tyler, Kent Bazemore, Klay Thompson, Malcolm Thomas, Richard Jefferson, Stephen Curry"
PHO,"Diante Garrett, Goran Dragic, Hamed Haddadi, Jared Dudley, Jermaine O'Neal, Kendall Marshall, Luis Scola, Luke Zeller, Marcin Gortat, Marcus Morris, Markieff Morris, Michael Beasley, P.J. Tucker, Sebastian Telfair, Shannon Brown, Wesley Johnson"
SAS,"Aron Baynes, Boris Diaw, Cory Joseph, Danny Green, DeJuan Blair, Gary Neal, James Anderson, Kawhi Leonard, Manu Ginobili, Matt Bonner, Nando De Colo, Patty Mills, Stephen Jackson, Tiago Splitter, Tim Duncan, Tony Parker"
MEM,"Austin Daye, Chris Johnson, Darrell Arthur, Dexter Pittman, Ed Davis, Hamed Haddadi, Jerryd Bayless, Jon Leuer, Josh Selby, Keyon Dooling, Marc Gasol, Marreese Speights, Mike Conley, Quincy Pondexter, Rudy Gay, Tayshaun Prince, Tony Allen, Tony Wroten, Wayne Ellington, Zach Randolph"
MIN,"Alexey Shved, Andrei Kirilenko, Brandon Roy, Chase Budinger, Chris Johnson, Dante Cunningham, Derrick Williams, Greg Stiemsma, J.J. Barea, Josh Howard, Kevin Love, Lazar Hayward, Lou Amundson, Luke Ridnour, Malcolm Lee, Mickael Gelabale, Nikola Pekovic, Ricky Rubio, Will Conroy"
UTA,"Al Jefferson, Alec Burks, DeMarre Carroll, Derrick Favors, Earl Watson, Enes Kanter, Gordon Hayward, Jamaal Tinsley, Jeremy Evans, Kevin Murphy, Marvin Williams, Mo Williams, Paul Millsap, Randy Foye"
LAL,"Andrew Goudelock, Antawn Jamison, Chris Duhon, Darius Johnson-Odom, Darius Morris, Devin Ebanks, Dwight Howard, Earl Clark, Jodie Meeks, Jordan Hill, Kobe Bryant, Metta World Peace, Pau Gasol, Robert Sacre, Steve Blake, Steve Nash"
ATL,"Al Horford, Anthony Morrow, Anthony Tolliver, Dahntay Jones, DeShawn Stevenson, Devin Harris, Ivan Johnson, Jannero Pargo, Jeff Teague, Jeremy Tyler, Johan Petro, John Jenkins, Josh Smith, Kyle Korver, Lou Williams, Mike Scott, Shelvin Mack, Zaza Pachulia"
IND,"Ben Hansbrough, D.J. Augustin, Danny Granger, David West, Dominic McGuire, George Hill, Gerald Green, Ian Mahinmi, Jeff Ayres, Lance Stephenson, Miles Plumlee, Orlando Johnson, Paul George, Roy Hibbert, Sam Young, Tyler Hansbrough"
NYK,"Amar'e Stoudemire, Carmelo Anthony, Chris Copeland, Earl Barron, Iman Shumpert, J.R. Smith, James White, Jason Kidd, Kenyon Martin, Kurt Thomas, Marcus Camby, Pablo Prigioni, Quentin Richardson, Rasheed Wallace, Raymond Felton, Ronnie Brewer, Solomon Jones, Steve Novak, Tyson Chandler"
DET,"Andre Drummond, Austin Daye, Brandon Knight, Charlie Villanueva, Corey Maggette, Greg Monroe, Jason Maxiell, Jonas Jerebko, Jose Calderon, Khris Middleton, Kim English, Kyle Singler, Rodney Stuckey, Tayshaun Prince, Viacheslav Kravtsov, Will Bynum"
SAC,"Aaron Brooks, Chuck Hayes, Cole Aldrich, DeMarcus Cousins, Francisco Garcia, Isaiah Thomas, James Johnson, Jason Thompson, Jimmer Fredette, John Salmons, Marcus Thornton, Patrick Patterson, Thomas Robinson, Toney Douglas, Travis Outlaw, Tyler Honeycutt, Tyreke Evans"
