Team,Players
SAC,"Andre Miller, Ben McLemore, Carl Landry, Darren Collison, David Stockton, David Wear, DeMarcus Cousins, Derrick Williams, Jason Thompson, Nik Stauskas, Omri Casspi, Quincy Miller, Ramon Sessions, Ray McCallum, Reggie Evans, Rudy Gay, Ryan Hollins"
GSW,"Andre Iguodala, Andrew Bogut, Brandon Rush, David Lee, Draymond Green, Festus Ezeli, Harrison Barnes, James Michael McAdoo, Justin Holiday, Klay Thompson, Leandro Barbosa, Marreese Speights, Ognjen Kuzmic, Shaun Livingston, Stephen Curry"
POR,"Allen Crabbe, Alonzo Gee, Arron Afflalo, CJ McCollum, Chris Kaman, Damian Lillard, Dorell Wright, Joel Freeland, LaMarcus Aldridge, Meyers Leonard, Nicolas Batum, Robin Lopez, Steve Blake, Thomas Robinson, Tim Frazier, Victor Claver, Wesley Matthews, Will Barton"
HOU,"Alexey Shved, Clint Capela, Corey Brewer, Donatas Motiejunas, Dwight Howard, Francisco Garcia, Isaiah Canaan, James Harden, Jason Terry, Joey Dorsey, Josh Smith, K.J. McDaniels, Kostas Papanikolaou, Nick Johnson, Pablo Prigioni, Patrick Beverley, Tarik Black, Terrence Jones, Trevor Ariza, Troy Daniels"
PHO,"A.J. Price, Alex Len, Anthony Tolliver, Archie Goodwin, Brandan Wright, Brandon Knight, Earl Barron, Eric Bledsoe, Gerald Green, Goran Dragic, Isaiah Thomas, Jerel McNeal, Marcus Morris, Marcus Thornton, Markieff Morris, Miles Plumlee, P.J. Tucker, Reggie Bullock, Seth Curry, Shavlik Randolph, T.J. Warren, Tyler Ennis, Zoran Dragic"
LAL,"Carlos Boozer, Dwight Buycks, Ed Davis, Jabari Brown, Jeremy Lin, Jordan Clarkson, Jordan Hill, Julius Randle, Kobe Bryant, Nick Young, Robert Sacre, Ronnie Price, Ryan Kelly, Tarik Black, Vander Blue, Wayne Ellington, Wesley Johnson, Xavier Henry"
OKC,"Andre Roberson, Anthony Morrow, D.J. Augustin, Dion Waiters, Enes Kanter, Grant Jerrett, Ish Smith, Jeremy Lamb, Kendrick Perkins, Kevin Durant, Kyle Singler, Lance Thomas, Mitch McGary, Nick Collison, Perry Jones, Reggie Jackson, Russell Westbrook, Sebastian Telfair, Serge Ibaka, Steve Novak, Steven Adams"
MIA,"Andre Dawkins, Chris Andersen, Chris Bosh, Danny Granger, Dwyane Wade, Goran Dragic, Hassan Whiteside, Henry Walker, James Ennis, Josh McRoberts, Justin Hamilton, Luol Deng, Mario Chalmers, Michael Beasley, Norris Cole, Shabazz Napier, Shannon Brown, Shawne Williams, Tyler Johnson, Udonis Haslem, Zoran Dragic"
ORL,"Aaron Gordon, Andrew Nicholson, Ben Gordon, Channing Frye, Devyn Marble, Dewayne Dedmon, Elfrid Payton, Evan Fournier, Kyle O'Quinn, Luke Ridnour, Maurice Harkless, Nikola Vucevic, Tobias Harris, Victor Oladipo, Willie Green"
CHO,"Al Jefferson, Bismack Biyombo, Brian Roberts, Cody Zeller, Gary Neal, Gerald Henderson, Jannero Pargo, Jason Maxiell, Jeffery Taylor, Kemba Walker, Lance Stephenson, Marvin Williams, Michael Kidd-Gilchrist, Mo Williams, Noah Vonleh, P.J. Hairston, Troy Daniels"
DET,"Andre Drummond, Anthony Tolliver, Brandon Jennings, Caron Butler, Cartier Martin, D.J. Augustin, Greg Monroe, Jodie Meeks, Joel Anthony, John Lucas III, Jonas Jerebko, Josh Smith, Kentavious Caldwell-Pope, Kyle Singler, Luigi Datome, Quincy Miller, Reggie Jackson, Shawne Williams, Spencer Dinwiddie, Tayshaun Prince"
CHI,"Aaron Brooks, Cameron Bairstow, Derrick Rose, Doug McDermott, E'Twaun Moore, Jimmy Butler, Joakim Noah, Kirk Hinrich, Mike Dunleavy, Nazr Mohammed, Nikola Mirotic, Pau Gasol, Taj Gibson, Tony Snell"
MIN,"Adreian Payne, Andrew Wiggins, Anthony Bennett, Arinze Onuaku, Chase Budinger, Corey Brewer, Gary Neal, Glenn Robinson, Gorgui Dieng, Jeff Adrien, Justin Hamilton, Kevin Garnett, Kevin Martin, Lorenzo Brown, Miroslav Raduljica, Mo Williams, Nikola Pekovic, Ricky Rubio, Robbie Hummel, Ronny Turiaf, Sean Kilpatrick, Shabazz Muhammad, Thaddeus Young, Troy Daniels, Zach LaVine"
DAL,"Al-Farouq Aminu, Amar'e Stoudemire, Bernard James, Brandan Wright, Chandler Parsons, Charlie Villanueva, Devin Harris, Dirk Nowitzki, Dwight Powell, Greg Smith, J.J. Barea, Jae Crowder, Jameer Nelson, Monta Ellis, Rajon Rondo, Raymond Felton, Richard Jefferson, Ricky Ledo, Tyson Chandler"
NOP,"Alexis Ajinca, Anthony Davis, Austin Rivers, Dante Cunningham, Darius Miller, Elliot Williams, Eric Gordon, Gal Mekel, Jeff Withey, Jimmer Fredette, John Salmons, Jrue Holiday, Luke Babbitt, Nate Wolters, Norris Cole, Omer Asik, Quincy Pondexter, Russ Smith, Ryan Anderson, Toney Douglas, Tyreke Evans"
MEM,"Beno Udrih, Courtney Lee, JaMychal Green, Jarnell Stokes, Jeff Green, Jon Leuer, Jordan Adams, Kalin Lucas, Kosta Koufos, Marc Gasol, Mike Conley, Nick Calathes, Quincy Pondexter, Russ Smith, Tayshaun Prince, Tony Allen, Tyrus Thomas, Vince Carter, Zach Randolph"
LAC,"Austin Rivers, Blake Griffin, C.J. Wilcox, Chris Douglas-Roberts, Chris Paul, Dahntay Jones, DeAndre Jordan, Ekpe Udoh, Glen Davis, Hedo Turkoglu, J.J. Redick, Jamal Crawford, Jared Cunningham, Jordan Farmar, Jordan Hamilton, Lester Hudson, Matt Barnes, Nate Robinson, Reggie Bullock, Spencer Hawes"
UTA,"Alec Burks, Bryce Cotton, Chris Johnson, Dante Exum, Derrick Favors, Elijah Millsap, Elliot Williams, Enes Kanter, Gordon Hayward, Grant Jerrett, Ian Clark, Jack Cooley, Jeremy Evans, Jerrelle Benimon, Joe Ingles, Patrick Christopher, Rodney Hood, Rudy Gobert, Steve Novak, Trevor Booker, Trey Burke"
ATL,"Adreian Payne, Al Horford, Austin Daye, DeMarre Carroll, Dennis Schroder, Elton Brand, Jeff Teague, John Jenkins, Kent Bazemore, Kyle Korver, Mike Muscala, Mike Scott, Paul Millsap, Pero Antic, Shelvin Mack, Thabo Sefolosha"
NYK,"Alexey Shved, Amar'e Stoudemire, Andrea Bargnani, Carmelo Anthony, Cleanthony Early, Cole Aldrich, Iman Shumpert, J.R. Smith, Jason Smith, Jose Calderon, Lance Thomas, Langston Galloway, Lou Amundson, Pablo Prigioni, Quincy Acy, Ricky Ledo, Samuel Dalembert, Shane Larkin, Tim Hardaway, Travis Wear"
PHI,"Alexey Shved, Brandon Davies, Chris Johnson, Drew Gordon, Furkan Aldemir, Glenn Robinson, Henry Sims, Hollis Thompson, Isaiah Canaan, Ish Smith, JaKarr Sampson, JaVale McGee, Jason Richardson, Jerami Grant, K.J. McDaniels, Larry Drew, Luc Mbah a Moute, Malcolm Lee, Malcolm Thomas, Michael Carter-Williams, Nerlens Noel, Robert Covington, Thomas Robinson, Tim Frazier, Tony Wroten"
IND,"A.J. Price, C.J. Miles, C.J. Watson, Chris Copeland, Damjan Rudez, David West, Donald Sloan, George Hill, Ian Mahinmi, Lavoy Allen, Luis Scola, Paul George, Rodney Stuckey, Roy Hibbert, Shayne Whittington, Solomon Hill"
WAS,"Andre Miller, Bradley Beal, DeJuan Blair, Drew Gooden, Garrett Temple, Glen Rice, John Wall, Kevin Seraphin, Kris Humphries, Marcin Gortat, Martell Webster, Nene Hilario, Otto Porter, Paul Pierce, Ramon Sessions, Rasual Butler, Toure' Murry, Will Bynum"
CLE,"A.J. Price, Alex Kirk, Anderson Varejao, Brendan Haywood, Dion Waiters, Iman Shumpert, J.R. Smith, James Jones, Joe Harris, Kendrick Perkins, Kevin Love, Kyrie Irving, LeBron James, Lou Amundson, Matthew Dellavedova, Mike Miller, Shawn Marion, Timofey Mozgov, Tristan Thompson, Will Cherry"
TOR,"Amir Johnson, Bruno Caboclo, Chuck Hayes, DeMar DeRozan, Greg Stiemsma, Greivis Vasquez, James Johnson, Jonas Valanciunas, Kyle Lowry, Landry Fields, Lou Williams, Lucas Nogueira, Patrick Patterson, Terrence Ross, Tyler Hansbrough"
BOS,"Avery Bradley, Brandan Wright, Brandon Bass, Dwight Powell, Evan Turner, Gerald Wallace, Isaiah Thomas, Jae Crowder, Jameer Nelson, James Young, Jared Sullinger, Jeff Green, Jonas Jerebko, Kelly Olynyk, Luigi Datome, Marcus Smart, Marcus Thornton, Phil Pressey, Rajon Rondo, Shavlik Randolph, Tayshaun Prince, Tyler Zeller"
BRK,"Alan Anderson, Andrei Kirilenko, Bojan Bogdanovic, Brandon Davies, Brook Lopez, Cory Jefferson, Darius Morris, Deron Williams, Earl Clark, Jarrett Jack, Jerome Jordan, Joe Johnson, Jorge Gutierrez, Kevin Garnett, Markel Brown, Mason Plumlee, Mirza Teletovic, Sergey Karasev, Thaddeus Young"
DEN,"Alonzo Gee, Arron Afflalo, Danilo Gallinari, Darrell Arthur, Erick Green, Gary Harris, Ian Clark, J.J. Hickson, JaVale McGee, Jamaal Franklin, Jameer Nelson, Joffrey Lauvergne, Jusuf Nurkic, Kenneth Faried, Nate Robinson, Randy Foye, Timofey Mozgov, Ty Lawson, Will Barton, Wilson Chandler"
MIL,"Brandon Knight, Chris Johnson, Ersan Ilyasova, Giannis Antetokounmpo, Jabari Parker, Jared Dudley, Jerryd Bayless, John Henson, Johnny O'Bryant, Jorge Gutierrez, Kendall Marshall, Kenyon Martin, Khris Middleton, Larry Sanders, Michael Carter-Williams, Miles Plumlee, Nate Wolters, O.J. Mayo, Tyler Ennis, Zaza Pachulia"
SAS,"Aron Baynes, Austin Daye, Boris Diaw, Cory Joseph, Danny Green, JaMychal Green, Jeff Ayres, Kawhi Leonard, Kyle Anderson, Manu Ginobili, Marco Belinelli, Matt Bonner, Patty Mills, Reggie Williams, Tiago Splitter, Tim Duncan, Tony Parker"
