game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4
201112260DAL,2012,7,8,0,116,257,286,460,909,78,218,751,963,990
201112260DAL,2012,7,8,6,116,257,286,1010,464,78,218,751,963,990
201112260DAL,2012,7,8,7,116,257,286,464,1010,43,218,751,963,990
201112260DAL,2012,7,8,9,116,257,464,1010,617,12,43,218,751,990
201112260DAL,2012,7,8,11,257,1010,464,617,396,12,43,157,218,864
201112260DAL,2012,7,8,12,909,464,617,286,851,12,43,78,157,864
201112260DAL,2012,7,8,16,286,909,464,617,460,12,43,78,157,864
201112260DAL,2012,7,8,17,286,460,464,617,909,12,43,78,751,864
201112260DAL,2012,7,8,18,909,460,464,617,116,12,43,78,751,864
201112260DAL,2012,7,8,20,116,460,464,617,909,43,218,751,864,990
201112260DAL,2012,7,8,21,116,1010,460,909,286,43,218,751,864,990
201112260DAL,2012,7,8,23,116,286,460,617,464,12,218,751,864,990
201112260DAL,2012,7,8,24,116,286,617,460,288,12,78,218,751,990
201112260DAL,2012,7,8,25,116,286,460,909,464,78,218,751,963,990
201112260DAL,2012,7,8,29,909,286,460,464,119,78,218,751,963,990
201112260DAL,2012,7,8,31,119,286,460,464,909,43,78,157,218,990
201112260DAL,2012,7,8,32,119,286,460,464,617,43,78,157,218,990
201112260DAL,2012,7,8,34,1010,617,891,257,851,43,157,218,864,990
201112260DAL,2012,7,8,35,257,617,851,891,1010,12,43,157,864,990
201112260DAL,2012,7,8,36,257,617,851,891,1010,12,43,157,184,864
201112260DAL,2012,7,8,42,257,617,851,891,1010,78,157,184,864,990
201112260DAL,2012,7,8,46,257,396,1010,617,288,78,184,601,864,990
201112290POR,2012,28,8,0,363,616,671,827,1022,78,218,751,963,990
201112290POR,2012,28,8,4,363,616,671,827,1022,12,78,218,751,990
201112290POR,2012,28,8,7,363,827,616,671,427,12,43,78,218,751
201112290POR,2012,28,8,9,363,427,758,1022,606,12,43,218,751,864
201112290POR,2012,28,8,10,363,427,606,758,1022,12,43,157,218,864
201112290POR,2012,28,8,11,363,427,606,758,1022,12,43,157,864,990
201112290POR,2012,28,8,15,427,606,1022,758,616,12,43,78,864,990
201112290POR,2012,28,8,16,427,616,758,1022,827,12,43,78,864,990
201112290POR,2012,28,8,17,427,616,758,827,1022,43,78,751,864,990
201112290POR,2012,28,8,19,827,427,616,363,671,43,78,751,864,990
201112290POR,2012,28,8,20,363,427,616,671,827,43,78,218,751,990
201112290POR,2012,28,8,21,363,616,671,827,758,43,78,218,751,990
201112290POR,2012,28,8,23,363,827,616,758,606,12,43,218,751,990
201112290POR,2012,28,8,24,363,616,1022,827,671,78,218,751,963,990
201112290POR,2012,28,8,32,363,1022,616,671,427,12,43,218,751,990
201112290POR,2012,28,8,35,363,427,758,1022,606,12,43,157,218,864
201112290POR,2012,28,8,36,363,427,606,758,1022,12,43,78,864,990
201112290POR,2012,28,8,37,363,427,606,758,827,12,43,78,864,990
201112290POR,2012,28,8,38,427,1022,758,827,616,12,43,78,864,990
201112290POR,2012,28,8,40,427,616,758,827,1022,43,78,751,864,990
201112290POR,2012,28,8,41,427,616,1022,827,671,43,218,751,864,990
201112290POR,2012,28,8,44,1022,427,616,671,363,43,78,218,751,990
201112290POR,2012,28,8,46,363,427,616,1022,827,43,78,218,751,990
201112310LAL,2012,14,8,0,51,263,600,694,792,78,218,751,963,990
201112310LAL,2012,14,8,7,263,600,694,792,989,43,218,751,963,990
201112310LAL,2012,14,8,10,706,600,989,51,929,12,43,218,751,864
201112310LAL,2012,14,8,11,542,929,706,459,792,12,43,218,751,864
201112310LAL,2012,14,8,12,459,542,706,792,929,12,43,157,218,864
201112310LAL,2012,14,8,15,459,542,706,792,929,12,43,78,157,864
201112310LAL,2012,14,8,17,600,542,792,706,263,12,43,78,751,990
201112310LAL,2012,14,8,20,459,263,600,542,51,43,78,218,751,990
201112310LAL,2012,14,8,22,51,263,459,600,792,43,78,218,751,990
201112310LAL,2012,14,8,23,51,263,459,600,792,43,218,751,963,990
201112310LAL,2012,14,8,24,51,263,459,600,792,78,218,751,963,990
201112310LAL,2012,14,8,25,51,600,929,792,694,78,218,751,963,990
201112310LAL,2012,14,8,30,51,600,694,792,929,12,43,218,751,990
201112310LAL,2012,14,8,31,706,929,542,792,459,12,43,218,751,990
201112310LAL,2012,14,8,34,459,542,706,792,929,12,43,218,864,963
201112310LAL,2012,14,8,35,929,459,542,706,51,12,43,218,864,963
201112310LAL,2012,14,8,37,51,459,542,706,929,12,43,78,864,963
201112310LAL,2012,14,8,40,51,459,542,929,600,12,43,78,864,963
201112310LAL,2012,14,8,41,459,542,600,929,792,12,43,78,864,963
201112310LAL,2012,14,8,42,792,459,542,600,263,12,43,78,864,963
201112310LAL,2012,14,8,43,792,263,600,51,694,12,218,751,864,990
201112310LAL,2012,14,8,45,51,263,600,694,792,12,43,218,751,990
201201020DEN,2012,8,17,0,78,218,601,963,990,50,112,139,338,927
201201020DEN,2012,8,17,7,157,78,990,218,12,112,139,300,521,927
201201020DEN,2012,8,17,9,12,864,157,990,43,90,300,521,907,927
201201020DEN,2012,8,17,11,12,43,157,864,184,90,139,300,642,907
201201020DEN,2012,8,17,13,12,43,157,184,864,50,90,139,642,907
201201020DEN,2012,8,17,15,12,43,963,864,78,50,90,139,642,907
201201020DEN,2012,8,17,17,43,78,963,864,218,50,112,139,338,907
201201020DEN,2012,8,17,19,78,218,990,864,601,112,139,521,642,927
201201020DEN,2012,8,17,20,78,990,218,601,184,112,139,521,642,927
201201020DEN,2012,8,17,22,78,184,218,601,990,90,139,521,626,927
201201020DEN,2012,8,17,23,990,184,218,601,43,90,139,521,626,927
201201020DEN,2012,8,17,25,990,218,601,78,963,50,112,139,338,927
201201020DEN,2012,8,17,30,990,78,218,601,12,50,112,139,338,927
201201020DEN,2012,8,17,31,12,78,218,601,990,50,90,112,338,927
201201020DEN,2012,8,17,32,12,157,990,218,43,50,90,112,338,927
201201020DEN,2012,8,17,34,12,43,157,218,864,50,112,139,642,927
201201020DEN,2012,8,17,35,12,43,157,864,184,50,112,139,642,927
201201020DEN,2012,8,17,36,12,43,157,184,864,112,139,521,642,927
201201020DEN,2012,8,17,37,12,43,157,184,864,112,139,521,642,907
201201020DEN,2012,8,17,39,12,43,184,864,218,112,139,521,642,907
201201020DEN,2012,8,17,40,12,43,184,218,864,50,112,139,642,907
201201020DEN,2012,8,17,41,12,43,218,864,990,50,112,642,907,927
201201020DEN,2012,8,17,44,12,43,218,864,990,50,112,139,642,927
201201020DEN,2012,8,17,45,12,43,990,218,78,50,112,139,642,927
201201020DEN,2012,8,17,46,12,43,78,218,990,50,112,139,338,927
201201040DEN,2012,8,29,0,78,218,601,963,990,176,407,517,677,996
